Piloto,Country,Points,Win,Podium,Top 10,FL,Pole,DOTD,CD,DNF,Entries,Equipe,teamcolor
Gunner,br,175,6,7,7,1,3,0,0,,7,Racing Bulls,6692ff
Andresito,ar,122,1,2,7,0,2,0,0,,7,Alpine,0093cc
Henrique Novaes,br,101,0,4,5,3,1,0,1,,5,Aston Martin,229971
Carlos Martins,au,97,0,2,6,0,0,0,1,,6,Mercedes,22cfb2ff
Razor,gb,91,0,0,5,0,0,0,0,,7,APX,858200ff
Quezadoe,nz,90,0,0,6,0,0,0,0,,7,Mercedes,22cfb2ff
Hiran Pelosi,br,78,0,1,3,0,0,2,0,,7,Ferrari,e80020
Well,br,75,0,0,4,1,0,1,0,,6,Sauber,00ff00
Verdugo,ar,68,0,0,4,0,0,0,1,,6,Haas,a5a9acff
Hernan,ar,64,0,0,4,0,0,0,0,,4,Alpine,0093cc
Rafael Lemes,br,60,0,0,2,0,0,1,1,,6,McLaren,ff8000
Alexandro,br,58,0,0,2,0,0,0,1,,7,Red Bull,3671c6
Gilvan,br,52,0,0,3,0,0,0,0,,5,Sauber,00ff00
Jestem,pl,49,0,2,2,1,0,0,0,,4,Williams,64c4ff
Ricardo,de,45,0,0,0,0,0,0,0,,6,Racing Bulls,6692ff
Heliakim,br,45,0,1,3,0,0,0,0,,4,Red Bull,3671c6
Rafael Sanches,br,40,0,1,2,1,1,0,0,,2,Aston Martin,229971
Rudnei,br,37,0,0,1,0,0,0,0,,5,McLaren,ff8000
Jean Rodrigo,br,32,0,0,0,0,0,0,0,,5,Haas,a5a9acff
Adriano Tahariel,br,27,0,0,0,0,0,0,0,,4,Ferrari,e80020
João Feliz,pt,18,0,0,0,0,0,0,0,,4,Williams,64c4ff
Teodoro,br,14,0,0,1,0,0,1,0,,1,Reserve,000000ff
Micaely,br,18,0,1,1,0,0,0,0,,1,APX,858200ff
FTronc,us,8,0,0,0,0,0,0,0,,1,Reserve,000000ff
Felipe Silva,br,11,0,0,1,0,0,0,0,,1,Reserve,000000ff
Don Pipa,ar,19,0,,,,,,,,,Reserve,000000ff
Piloto 4,,0,0,,,,,,,,,,
Piloto 5,,0,0,,,,,,,,,,
Piloto 6,,0,,,,,,,,,,,
Piloto 7,,0,,,,,,,,,,,
Piloto 8,,0,,,,,,,,,,,
Piloto 9,,0,,,,,,,,,,,
Piloto 10,,0,,,,,,,,,,,
Piloto 11,,0,,,,,,,,,,,