,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25,R26,R27,R28,R29,R30
GP,au,cn,cn,jp,be,be,hu,bh,sa,us,us,nl,it,it,az,mc,sg,es,us,us,mx,br,br,at,at,us,qa,ae,ae,gb
P1,Antonino,Antonino,Thiago,Antonino,Teodoro,Teodoro,Matias Verdugo,Antonino,,,,,,,,,,,,,,,,,,,,,,
P2,Teodoro,Gaston,Teodoro,Marcio Schuchter,Erick,Marcio Schuchter,Teodoro,Joaquin,,,,,,,,,,,,,,,,,,,,,,
P3,Wellington,Marcio Schuchter,Antonino,Jo Caiana,Julian,Iranildo,Thiago,Thiago,,,,,,,,,,,,,,,,,,,,,,
P4,Marcio Schuchter,Hiran Pelosi,Gaston,Rafael Lemes,Gaston,Danilo,Heliakim,Well,,,,,,,,,,,,,,,,,,,,,,
P5,Thiago,Aysllan,Rafael,Hiran Pelosi,Matias Verdugo,Julian,Antonino,Iranildo,,,,,,,,,,,,,,,,,,,,,,
P6,Hernan,Matias Verdugo,Hiran Pelosi,Aysllan,Antonino,Wellington,Jo Caiana,Hernan,,,,,,,,,,,,,,,,,,,,,,
P7,Julian,Joaquin,Marcio Schuchter,Matias Verdugo,Thiago,Gaston,Aysllan,Rafael Lemes,,,,,,,,,,,,,,,,,,,,,,
P8,Jo Caiana,Teodoro,Aysllan,Danilo,Hiran Pelosi,Aysllan,Wellington,Marcio Schuchter,,,,,,,,,,,,,,,,,,,,,,
P9,Ronaldo Lisboa,Julian,Julian,Michael Lopes,Marcio Schuchter,Rafael Lemes,Hiran Pelosi,Julian,,,,,,,,,,,,,,,,,,,,,,
P10,Hiran Pelosi,Jo Caiana,Heliakim,Joaquin,Danilo,Ronaldo Lisboa,Marcio Schuchter,Aysllan,,,,,,,,,,,,,,,,,,,,,,
P11,Matias Verdugo,Heliakim,Matias Verdugo,Thiago,Ronaldo Lisboa,Matias Verdugo,Gaston,Ronaldo Lisboa,,,,,,,,,,,,,,,,,,,,,,
P12,Rafael Lemes,Leonardo,Jo Caiana,Teodoro,Wellington,Thiago,Joaquin,Matias Verdugo,,,,,,,,,,,,,,,,,,,,,,
P13,Adriano Tahariel,Ronaldo Lisboa,Leonardo,Adriano Tahariel,Joaquin,Leonardo,Ronaldo Lisboa,Danilo,,,,,,,,,,,,,,,,,,,,,,
P14,Iranildo,Thiago,Michael Lopes,Leonardo,Aysllan,Joaquin,Rafael Lemes,Michael Lopes,,,,,,,,,,,,,,,,,,,,,,
P15,,Adriano Tahariel,Ronaldo Lisboa,Ronaldo Lisboa,Jo Caiana,Hiran Pelosi,Julian,Erick,,,,,,,,,,,,,,,,,,,,,,
P16,,Michael Lopes,Joaquin,,Iranildo,Michael Lopes,Hernan,,,,,,,,,,,,,,,,,,,,,,,
P17,,Rafael Lemes,Iranildo,,Rafael Lemes,Jo Caiana,,,,,,,,,,,,,,,,,,,,,,,,
P18,,Danilo,Adriano Tahariel,,Michael Lopes,Adriano Tahariel,,,,,,,,,,,,,,,,,,,,,,,,
P19,,,Danilo,,Leonardo,Antonino,,,,,,,,,,,,,,,,,,,,,,,,
P20,,,Andres,,Adriano Tahariel,Erick,,,,,,,,,,,,,,,,,,,,,,,,
P21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,Thiago,Antonino,Antonino,Heliakim,Teodoro,Teodoro,Antonino,Thiago,,,,,,,,,,,,,,,,,,,,,,
Pole,Antonino,,Antonino,Antonino,Julian,Antonino,Antonino,Antonino,,,,,,,,,,,,,,,,,,,,,,
DOTD,Ronaldo Lisboa,Jo Caiana,Jo Caiana,Danilo,Iranildo,Iranildo,Wellington,Aysllan,,,,,,,,,,,,,,,,,,,,,,
CD,Julian,Leonardo,Leonardo,Antonino,Aysllan,Aysllan,Antonino,Antonino,,,,,,,,,,,,,,,,,,,,,,
DNF,Erick,Erick,Erick,Heliakim,,,Adriano Tahariel,Andres,,,,,,,,,,,,,,,,,,,,,,
DNF,Gaston,Iranildo,,Erick,,,Danilo,,,,,,,,,,,,,,,,,,,,,,,
DNF,Heliakim,Andres,,Iranildo,,,Erick,,,,,,,,,,,,,,,,,,,,,,,
DNF,Joaquin,Wellington,,,,,Iranildo,,,,,,,,,,,,,,,,,,,,,,,
DNF,Leonardo,Hernan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNF,Michael Lopes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNF,Aysllan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNF,Danilo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNF,Andres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ww,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,